Apple iPhone 13 Mini (128GB) - Starlight,"64,900"
Apple iPhone 13 Mini (128 GB) - Green,"64,900"
Apple iPhone 13 Mini (256GB) - Starlight,"68,990"
Apple iPhone 13 Mini (128GB) - Blue,"64,900"
Apple iPhone 13 Mini (256GB) - Blue,"74,900"
Apple iPhone 13 Mini (256GB) - Pink,"68,990"
Apple iPhone 13 Mini (256 GB) - Green,"74,900"
Apple iPhone 13 Mini (256GB) - (Product) RED,"74,900"
iPhone 14 128GB Midnight,"79,900"
iPhone 14 128GB Starlight,"79,900"
Apple iPhone 12 (128GB) - Purple,"54,499"
Apple iPhone 13 Pro (128GB) - Graphite,"1,06,900"
Apple iPhone 12 (128GB) - Black,"53,490"
Apple iPhone 13 Pro (256GB) - Sierra Blue,"1,15,900"
Apple iPhone 13 Pro (256GB) - Gold,"1,15,900"
iPhone 14 Plus 128GB Purple,"89,900"
Apple iPhone 13 Pro (256 GB) - Alpine Green,"1,15,900"
iPhone 14 256GB Starlight,"89,900"
Apple iPhone 12 (64GB) - Black,"47,999"
Apple iPhone 12 (128GB) - White,"53,490"
iPhone 14 128GB Purple,"79,900"
Apple iPhone 12 (256GB) - Blue,"62,999"
iPhone 14 128GB (Product) RED,"79,900"
Apple iPhone 12 (64GB) - Blue,"47,999"
